x,y
29,27
35,42
35.6,35
30,31
10,11
35,28
48,31
35.8,33
33,38
32,40
19,7.2
39,25
47,45
35,30
35,30
38,38
40,30
45,45
43,42
46,43
46,42
45,39
46,44
43,47
41,25
41,27
38,29
42,38
27,38
27,29
7,25
40,26
41,33
18.8,24.2
33,36
46,45
38,15
6,16
16,18
36,46
43,42
39,45
50,46
37,18
38,45
36,31
35.6,30
43,42
24,20
6,25
43,40
6,25
41,31
22,19
30,24
12,30
14,32
20,11
49,50
47,45
48,49
44,43
22,20
45,43
45,27
46,42
28,37
34,33
43,40
41,30
49,45
48,42
36,40
50,39
48,40
36,38
49,31
48,48
10,39
46,44
41,38
36,30
40,35
47,46
45,37
45,41
47,47
49,34
33,32
42,32
38.8,33
42,31
39,41
38,33
35,37
27,39
32,38
34,33
11,43
35,30
40.8,39
29,44
30,33
15,10.5
36,50
28,30
32,44
34,28
37,38
44,38
46,50
41,30
45,48
48,49
45,48
48,50
49,50
40,48
21,18
34,32
45,48
47,45
48,48
44,50
24,43
34,44
43,36
36,31
48,48
47,48
50,50
35,34
24,44
44,48
49,50
44,50
44,48
39,46
42,44
26,30
16,34
48,48
47,46
40,48
35.6,32
42,30
45,44
34,48
28,47
47,48
50,48
46,48
33,26
17,21
35.5,48
32.5,39
15,22
47,49
40,50
37.5,45
33.5,30
39.5,12
30,41
45.5,40
27.5,7
41,43
36.5,45
26.5,47
29,29
21,27
38.5,35
35.5,25
46,45
41,41
34,39
35,11
17,33
43,42
45.5,49
48,45
24.5,35
37,40
46,46
23,33
41,46
22,34
26.5,37
42,42
28.5,45
39.5,41
30.5,26.7
7,41
22,34
21,49
34,47
29,35
30,25
38,44
30,27
44,31.5
28,34
48,46
45,47
44,45
47,47
45,43
43,43
31,44
34,50
33,40
47,49
45,43
37,38
43,39
41,46
38,38
42,44
38,42
48,49
46,43
48,50
43,42
35,39
41,45
48,44
24,42
24,44
37,48
46,50
41,42
39,46
36,30
46,48
44,48
41,46
39,48
32,39
22,12
39,50
35,12
18,42
45,45
42,50
44,24
46,44
38,39
48,47
40,46
48,32
33.5,46
