x,y,t
-0.89884543,-0.716006965,1
-0.387093862,-0.106249601,2
-0.792318753,-0.617535963,1
-0.777130036,-0.436236437,1
-0.332681962,-0.044532414,2
-0.758507597,-0.545475976,1
-0.79735104,-0.536287753,1
0.670921118,-0.943986419,0
-1.086314613,-0.452886901,1
0.053149007,-0.841388848,0
-0.639989583,0.356372871,2
-0.194815524,0.190213469,2
-0.826397073,-0.789441481,1
-0.810124072,-0.664127868,1
-0.607720655,-0.515152905,1
-0.50483949,0.010742126,2
-0.639679118,-0.875214299,1
-0.747177199,-0.48319975,1
0.537760295,-1.161103768,0
-0.916236251,-0.83939835,1
0.484921016,-0.925549841,0
-0.438379073,-0.773326409,1
0.365186424,-0.948907772,0
-0.343967258,-0.108651194,2
-0.743496581,-0.661644978,1
0.231424928,-0.833949429,0
0.043938122,-0.828393555,0
-0.794621064,-0.82731717,1
-1.049913941,-0.558753976,1
0.471689113,-0.903417583,0
-0.43885147,0.095762282,2
-0.61898599,-0.489130527,1
-0.583383848,0.324061005,2
-0.243960659,0.19777367,2
0.153543061,-0.814624418,0
-0.78432093,-0.675703547,1
0.403456081,-0.846612218,0
0.487166567,-0.809763827,0
-0.221913325,6.16E-05,2
-0.509058602,0.00115491,2
0.464084543,-1.271262795,0
-0.236581841,0.060117478,2
0.011726435,0.105159651,2
0.467436609,-1.025632959,0
-0.714513141,-0.515770673,1
0.431359474,-0.907381091,0
0.532549622,-0.754738943,0
0.314977417,-1.082579397,0
0.100019676,-0.827264621,0
-0.451287545,0.219266848,2
-0.820607695,-0.541749627,1
0.357743182,-1.140790706,0
0.424558894,-1.038251489,0
0.504308333,-0.87049295,0
-0.874286133,-0.440377107,1
0.292948988,-1.010154204,0
0.39029575,-0.85897282,0
0.37754033,-0.797963627,0
-0.792242674,-0.461203875,1
-0.588629223,0.016125712,2
-0.47332832,0.022873192,2
0.375590558,-0.6483799,0
0.333844679,-0.863920776,0
-0.306139366,0.067677969,2
-0.111917885,0.243074303,2
-0.701587599,-0.62516635,1
0.337362669,-0.956062731,0
0.620958893,-0.85579649,0
0.520641831,-0.905254535,0
-0.747009568,-0.798077166,1
-0.445890806,-0.095348697,2
-0.651871176,-0.614459743,1
0.418493478,-1.060986379,0
-0.366838935,-0.798484305,1
-0.984509176,-0.739701218,1
-0.368076211,0.070408092,2
0.393476186,-0.744536468,0
-0.930729678,-0.700947882,1
-0.992568887,-0.505972861,1
-0.230243126,0.157368616,2
-0.919832543,-0.369485185,1
-0.306411072,0.139013519,2
-0.591944959,-0.589909403,1
-0.14205658,-0.082222074,2
0.167686818,-1.061748841,0
-0.370903228,-0.068002613,2
-0.485105258,0.413043797,2
-1.123432908,-0.690035879,1
-0.903723714,-0.382178592,1
-0.039917119,0.256217065,2
0.376399973,-0.837107655,0
-0.948525657,-0.401218915,1
0.349982284,-0.960645372,0
-0.239141808,0.157274777,2
-0.326742328,0.127508418,2
0.26231741,-0.752029089,0
-0.155374262,0.013646496,2
-0.39471357,0.046824506,2
-0.320243603,0.216995921,2
-0.604289472,-0.566423269,1
0.21693518,-1.01878738,0
-1.091929875,-0.763713104,1
-0.236979366,0.048154711,2
-0.985190871,-0.735839567,1
-0.626935983,-0.448049987,1
-0.571103587,0.154591661,2
0.072379037,-1.043887096,0
-0.397753023,0.011019699,2
-0.358100915,0.129709539,2
-0.371848991,0.243049414,2
0.322455849,-0.885137224,0
-0.408400887,-0.025067526,2
-0.884913282,-0.678016533,1
0.315333928,-0.637026955,0
-0.541238763,0.060025939,2
-1.087046806,-0.472511594,1
-0.739984926,-0.526259716,1
-0.440815332,-0.578650099,1
0.266114037,-0.69232932,0
-0.867355506,-0.510436906,1
0.592168233,-0.665124419,0
-0.835816678,-0.789148722,1
-0.658919597,0.425306858,2
0.14175298,-0.88331299,0
-0.319468305,0.051209887,2
0.552912371,-0.764388943,0
-0.576821351,0.02567464,2
-0.681567205,-0.905643918,1
-0.76311877,-0.348329577,1
0.030303687,0.190383587,2
0.623734256,-1.021127091,0
-0.316397037,-0.212984985,2
-0.382602317,0.040362293,2
0.616330428,-0.959330812,0
0.673169649,-0.679335177,0
-0.268614356,0.09757678,2
0.685885552,-0.757994205,0
-0.726298869,-0.522133468,1
0.506822252,-0.83647312,0
0.387861521,-0.975694117,0
-0.415464018,-0.682977404,1
-0.237540393,0.215048684,2
-0.655410115,-0.525478341,1
-0.654211033,-0.574923603,1
-0.82672328,-0.761509189,1
0.513388756,-1.238225124,0
0.405217656,-1.411046781,0
-0.739576533,-0.383527095,1
0.613500995,-0.949029194,0
-0.439790913,0.053020347,2
-0.286504058,0.315139703,2
-0.794520096,-0.605987943,1
-0.795669802,-0.571934976,1
0.370551429,-1.2263325,0
-0.452747468,0.126947058,2
-0.398832604,0.649649706,2
-0.83675662,-0.240704176,1
0.373082307,-1.113510906,0
0.323591634,-0.844464368,0
-0.821582369,-0.692108191,1
-0.108749411,0.145821094,2
0.280668762,-0.883911412,0
0.272220895,-0.688215206,0
0.534803834,-1.020747812,0
-0.398311867,0.168816296,2
0.259536227,-0.711396836,0
-0.984067512,-0.590371094,1
-0.496675466,0.360294117,2
-0.746993241,-0.615444858,1
-0.206964004,-0.092507385,2
-0.32986858,0.081867861,2
0.535758741,-0.946373067,0
0.615830069,-0.983217541,0
-0.464672287,0.025335368,2
-0.907594044,-0.548849231,1
-0.179159035,0.21711673,2
-0.646635812,-0.566633596,1
-0.495293021,0.203708292,2
-0.816248437,-0.773367818,1
-0.914298848,-0.755754939,1
0.201627407,-0.959225275,0
0.400030484,-0.906231592,0
-0.877816826,-0.633199323,1
0.343407902,-1.049802203,0
-0.314148867,0.207510426,2
0.484138656,-0.700135617,0
-0.649307852,0.180619586,2
-0.525033835,-0.472071239,1
-1.005916813,-0.5549758,1
0.577330056,-0.989692581,0
-0.985632378,-0.862395822,1
-0.272700169,0.323980947,2
-0.329810084,0.028496009,2
-0.520108369,-0.44288316,1
0.237632391,-0.847852228,0
0.286341088,-0.897304381,0
-0.333204587,-0.009379095,2
-0.4329854,0.430894465,2
-0.091110707,0.018684586,2
-0.050658349,0.0704727,2
