epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,124,,,,,0.9449999928474426,0.17436815798282623
0,124,,,0.6737499833106995,1.0366997718811035,,
1,249,,,,,0.9639999866485596,0.08983132243156433
1,249,,,0.9567499756813049,0.12502481043338776,,
2,374,,,,,0.9449999928474426,0.14750026166439056
2,374,,,0.9627500176429749,0.10427392274141312,,
3,499,,,,,0.9539999961853027,0.12014634907245636
3,499,,,0.9624999761581421,0.10392046719789505,,
4,624,,,,,0.9639999866485596,0.0953408032655716
4,624,,,0.9642500281333923,0.09757542610168457,,
5,749,,,,,0.9700000286102295,0.09348125755786896
5,749,,,0.968999981880188,0.09026671200990677,,
6,874,,,,,0.9649999737739563,0.08969629555940628
6,874,,,0.968625009059906,0.09220457822084427,,
7,999,,,,,0.968999981880188,0.07818163186311722
7,999,,,0.965624988079071,0.09254099428653717,,
8,1124,,,,,0.9670000076293945,0.08054398000240326
8,1124,,,0.9664999842643738,0.09050703793764114,,
9,1249,,,,,0.968999981880188,0.079161137342453
9,1249,,,0.968625009059906,0.09114839881658554,,
10,1374,,,,,0.9679999947547913,0.08028654009103775
10,1374,,,0.9679999947547913,0.08999631553888321,,
11,1499,,,,,0.968999981880188,0.07879160344600677
11,1499,,,0.9664999842643738,0.09014570713043213,,
12,1624,,,,,0.9700000286102295,0.08884304016828537
12,1624,,,0.9681249856948853,0.08860979229211807,,
13,1749,,,,,0.9710000157356262,0.07875297963619232
13,1749,,,0.9682499766349792,0.09104589372873306,,
14,1874,,,,,0.9589999914169312,0.1018478274345398
14,1874,,,0.968500018119812,0.08849048614501953,,
15,1999,,,,,0.972000002861023,0.08274635672569275
15,1999,,,0.9697499871253967,0.08816778659820557,,
16,2124,,,,,0.9670000076293945,0.07696624845266342
16,2124,,,0.9664999842643738,0.08685410767793655,,
17,2249,,,,,0.9710000157356262,0.0853358581662178
17,2249,,,0.968500018119812,0.08674642443656921,,
18,2374,,,,,0.9639999866485596,0.08608878403902054
18,2374,,,0.9643750190734863,0.09045857191085815,,
19,2499,,,,,0.9660000205039978,0.08944098651409149
19,2499,,,0.9671249985694885,0.09008929133415222,,
20,2624,,,,,0.9660000205039978,0.08803871273994446
20,2624,,,0.9677500128746033,0.08733996003866196,,
21,2749,,,,,0.9710000157356262,0.0736069604754448
21,2749,,,0.9697499871253967,0.08781719952821732,,
22,2874,,,,,0.9729999899864197,0.07529877871274948
22,2874,,,0.9679999947547913,0.08753523975610733,,
23,2999,,,,,0.9649999737739563,0.08881743252277374
23,2999,,,0.9697499871253967,0.08734995126724243,,
24,3124,,,,,0.968999981880188,0.08810053020715714
24,3124,,,0.9723749756813049,0.08310969173908234,,
25,3249,,,,,0.9710000157356262,0.07779049128293991
25,3249,,,0.968999981880188,0.0859525203704834,,
26,3374,,,,,0.9710000157356262,0.07731366157531738
26,3374,,,0.968375027179718,0.08379930257797241,,
27,3499,,,,,0.972000002861023,0.07910709083080292
27,3499,,,0.9678750038146973,0.08549898862838745,,
28,3624,,,,,0.9679999947547913,0.07794435322284698
28,3624,,,0.968874990940094,0.08539769053459167,,
29,3749,,,,,0.9589999914169312,0.09513881057500839
29,3749,,,0.96875,0.08938216418027878,,
30,3874,,,,,0.9710000157356262,0.07966699451208115
30,3874,,,0.968375027179718,0.08676139265298843,,
31,3999,,,,,0.9639999866485596,0.0918009951710701
31,3999,,,0.9695000052452087,0.08337610960006714,,
32,4124,,,,,0.9710000157356262,0.0756702721118927
32,4124,,,0.968999981880188,0.08532387763261795,,
33,4249,,,,,0.9670000076293945,0.07922186702489853
33,4249,,,0.9682499766349792,0.08746376633644104,,
34,4374,,,,,0.9660000205039978,0.08095905184745789
34,4374,,,0.9698749780654907,0.0844276025891304,,
35,4499,,,,,0.9670000076293945,0.08379635214805603
35,4499,,,0.9702500104904175,0.08506791293621063,,
36,4624,,,,,0.9670000076293945,0.09128937870264053
36,4624,,,0.968625009059906,0.08958995342254639,,
37,4749,,,,,0.9670000076293945,0.0898781269788742
37,4749,,,0.9672499895095825,0.08761190623044968,,
38,4874,,,,,0.9670000076293945,0.0937027558684349
38,4874,,,0.9697499871253967,0.08253921568393707,,
39,4999,,,,,0.9670000076293945,0.08101966232061386
39,4999,,,0.968999981880188,0.08645248413085938,,
40,5124,,,,,0.9660000205039978,0.09449325501918793
40,5124,,,0.968999981880188,0.08558918535709381,,
41,5249,,,,,0.9700000286102295,0.08165636658668518
41,5249,,,0.9676250219345093,0.0868070125579834,,
42,5374,,,,,0.9679999947547913,0.08234694600105286
42,5374,,,0.9716249704360962,0.0815773755311966,,
43,5499,,,,,0.9700000286102295,0.07874485850334167
43,5499,,,0.968999981880188,0.08500142395496368,,
44,5624,,,,,0.968999981880188,0.07787881046533585
44,5624,,,0.9704999923706055,0.0815364345908165,,
45,5749,,,,,0.968999981880188,0.07921317964792252
45,5749,,,0.968874990940094,0.08352084457874298,,
46,5874,,,,,0.972000002861023,0.07544037699699402
46,5874,,,0.968500018119812,0.08419289439916611,,
47,5999,,,,,0.9639999866485596,0.0827561467885971
47,5999,,,0.968999981880188,0.08504801243543625,,
48,6124,,,,,0.972000002861023,0.0860942080616951
48,6124,,,0.9695000052452087,0.08585736155509949,,
49,6249,,,,,0.9700000286102295,0.07572853565216064
49,6249,,,0.9698749780654907,0.08333010226488113,,
50,6250,0.9649999737739563,0.08523882925510406,,,,
