epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,159,,,,,1.0,0.318543016910553
0,159,,,0.6812499761581421,0.6084867119789124,,
1,319,,,,,1.0,0.17410123348236084
1,319,,,1.0,0.2583028972148895,,
2,479,,,,,1.0,0.11939096450805664
2,479,,,1.0,0.16674204170703888,,
3,639,,,,,1.0,0.09107346832752228
3,639,,,1.0,0.12468601763248444,,
4,799,,,,,1.0,0.07381178438663483
4,799,,,1.0,0.10037367045879364,,
5,959,,,,,1.0,0.062122832983732224
5,959,,,1.0,0.08442460000514984,,
6,1119,,,,,1.0,0.05366833135485649
6,1119,,,1.0,0.07309742271900177,,
7,1279,,,,,1.0,0.047267600893974304
7,1279,,,1.0,0.06463463604450226,,
8,1439,,,,,1.0,0.04225211590528488
8,1439,,,1.0,0.058050524443387985,,
9,1599,,,,,1.0,0.0382116325199604
9,1599,,,1.0,0.052765317261219025,,
10,1600,1.0,0.07663698494434357,,,,
