epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,1499,,,,,0.9815833568572998,0.06915755569934845
0,1499,,,0.9914374947547913,0.02605791762471199,,
1,2999,,,,,0.98416668176651,0.06165371835231781
1,2999,,,0.9928333163261414,0.021445363759994507,,
2,4499,,,,,0.9831666946411133,0.06763965636491776
2,4499,,,0.9941458106040955,0.019083311781287193,,
3,5999,,,,,0.984250009059906,0.06287992000579834
3,5999,,,0.9942708611488342,0.016523083671927452,,
4,7499,,,,,0.984250009059906,0.06560157239437103
4,7499,,,0.9943749904632568,0.015872016549110413,,
5,7500,0.9830999970436096,0.07176331430673599,,,,
