epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,1499,,,,,0.9744166731834412,0.09438571333885193
0,1499,,,0.9388124942779541,0.20151261985301971,,
1,2999,,,,,0.9759166836738586,0.07944485545158386
1,2999,,,0.9782291650772095,0.07169145345687866,,
2,4499,,,,,0.9775833487510681,0.07323123514652252
2,4499,,,0.98416668176651,0.05013793334364891,,
3,5999,,,,,0.9788333177566528,0.07874559611082077
3,5999,,,0.988979160785675,0.03552750498056412,,
4,7499,,,,,0.9789166450500488,0.07487961649894714
4,7499,,,0.9914791584014893,0.027726422995328903,,
5,8999,,,,,0.9794166684150696,0.07552958279848099
5,8999,,,0.9935416579246521,0.02051488123834133,,
6,10499,,,,,0.9792500138282776,0.08610621839761734
6,10499,,,0.9952916502952576,0.014974845573306084,,
7,11999,,,,,0.9767500162124634,0.09170722216367722
7,11999,,,0.9965624809265137,0.011226702481508255,,
8,13499,,,,,0.9766666889190674,0.0924033373594284
8,13499,,,0.9971250295639038,0.009434790350496769,,
9,14999,,,,,0.9768333435058594,0.10211421549320221
9,14999,,,0.9978125095367432,0.006989248096942902,,
10,15000,0.9768000245094299,0.10011475533246994,,,,
