epoch,step,train_loss,val_loss
0,235,,0.1043286845088005
0,235,0.11743756383657455,
1,471,,0.101895771920681
1,471,0.10041016340255737,
2,707,,0.1031414344906807
2,707,0.1002080887556076,
3,943,,0.10182831436395645
3,943,0.09824634343385696,
4,1179,,0.09847661852836609
4,1179,0.09702665358781815,
5,1415,,0.1020975336432457
5,1415,0.09773851931095123,
6,1651,,0.10260765999555588
6,1651,0.09581112861633301,
7,1887,,0.09920243173837662
7,1887,0.09598298370838165,
8,2123,,0.10091192275285721
8,2123,0.09520908445119858,
9,2359,,0.1021566241979599
9,2359,0.09377803653478622,
10,2595,,0.09830382466316223
10,2595,0.09354173392057419,
11,2831,,0.09862513095140457
11,2831,0.09405004233121872,
12,3067,,0.09757407009601593
12,3067,0.09474345296621323,
13,3303,,0.10118100047111511
13,3303,0.09326566010713577,
14,3539,,0.10053891688585281
14,3539,0.09299486875534058,
15,3775,,0.10200447589159012
15,3775,0.09357740730047226,
16,4011,,0.10273139178752899
16,4011,0.09315814822912216,
17,4247,,0.10139523446559906
17,4247,0.0930270329117775,
18,4483,,0.11282868683338165
18,4483,0.10077395290136337,
19,4719,,0.10581928491592407
19,4719,0.1027659997344017,
20,4955,,0.10104644298553467
20,4955,0.10019551217556,
21,5191,,0.0995253473520279
21,5191,0.09691890329122543,
22,5427,,0.09815336018800735
22,5427,0.09600304067134857,
23,5663,,0.09891758859157562
23,5663,0.09500759094953537,
24,5899,,0.10007744282484055
24,5899,0.09414730221033096,
25,6135,,0.10484445095062256
25,6135,0.0938497930765152,
26,6371,,0.10378185659646988
26,6371,0.09514304995536804,
27,6607,,0.09890729933977127
27,6607,0.0976058691740036,
28,6843,,0.10442265123128891
28,6843,0.09774086624383926,
29,7079,,0.09844475984573364
29,7079,0.09611636400222778,
30,7315,,0.0982460081577301
30,7315,0.09435561299324036,
31,7551,,0.12140148878097534
31,7551,0.1184682622551918,
32,7787,,0.10772107541561127
32,7787,0.11183663457632065,
